Dataset,Years CE to sample from ,Member Pool,Sample Size (=months),Model Architecture,Variable,X_train,y_train (label),Training stored in
,,,,,,,,
20CRv3,1851–2015,ensmean,1980,conv1D_n64_32_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_conv1D_n64_32_do01
20CRv3ens,1851–2015,81,1980,conv1D_n64_32_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_conv1D_n64_32_do01
MPI-GE,1850–2005,100,1980,conv1D_n64_32_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_conv1D_n64_32_do01
CESM-LME,850–2005,13,1980,conv1D_n64_32_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_conv1D_n64_32_do01
20CRv3ens,1851–2015,81,20000,conv1D_n64_32_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_conv1D_n64_32_do01
MPI-GE,1850–2005,100,20000,conv1D_n64_32_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_conv1D_n64_32_do01
CESM-LME,850–2005,13,20000,conv1D_n64_32_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_conv1D_n64_32_do01
20CRv3,1851–2015,ensmean,1980,conv1D_n64_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_conv1D_n64_do02
20CRv3ens,1851–2015,81,1980,conv1D_n64_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_conv1D_n64_do02
MPI-GE,1850–2005,100,1980,conv1D_n64_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_conv1D_n64_do02
CESM-LME,850–2005,13,1980,conv1D_n64_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_conv1D_n64_do02
20CRv3ens,1851–2015,81,20000,conv1D_n64_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_conv1D_n64_do02
MPI-GE,1850–2005,100,20000,conv1D_n64_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_conv1D_n64_do02
CESM-LME,850–2005,13,20000,conv1D_n64_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_conv1D_n64_do02
20CRv3,1851–2015,ensmean,1980,conv1D_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_conv1D_n64
20CRv3ens,1851–2015,81,1980,conv1D_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_conv1D_n64
MPI-GE,1850–2005,100,1980,conv1D_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_conv1D_n64
CESM-LME,850–2005,13,1980,conv1D_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_conv1D_n64
20CRv3ens,1851–2015,81,20000,conv1D_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_conv1D_n64
MPI-GE,1850–2005,100,20000,conv1D_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_conv1D_n64
CESM-LME,850–2005,13,20000,conv1D_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_conv1D_n64
20CRv3,1851–2015,ensmean,1980,conv1D_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_conv1D_n64_do01
20CRv3ens,1851–2015,81,1980,conv1D_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_conv1D_n64_do01
MPI-GE,1850–2005,100,1980,conv1D_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_conv1D_n64_do01
CESM-LME,850–2005,13,1980,conv1D_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_conv1D_n64_do01
20CRv3ens,1851–2015,81,20000,conv1D_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_conv1D_n64_do01
MPI-GE,1850–2005,100,20000,conv1D_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_conv1D_n64_do01
CESM-LME,850–2005,13,20000,conv1D_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_conv1D_n64_do01
20CRv3,1851–2015,ensmean,1980,conv1D_n64_do03,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_conv1D_n64_do03
20CRv3ens,1851–2015,81,1980,conv1D_n64_do03,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_conv1D_n64_do03
MPI-GE,1850–2005,100,1980,conv1D_n64_do03,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_conv1D_n64_do03
CESM-LME,850–2005,13,1980,conv1D_n64_do03,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_conv1D_n64_do03
20CRv3ens,1851–2015,81,20000,conv1D_n64_do03,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_conv1D_n64_do03
MPI-GE,1850–2005,100,20000,conv1D_n64_do03,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_conv1D_n64_do03
CESM-LME,850–2005,13,20000,conv1D_n64_do03,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_conv1D_n64_do03
20CRv3,1851–2015,ensmean,1980,RNN_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_RNN_n64
20CRv3ens,1851–2015,81,1980,RNN_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_RNN_n64
MPI-GE,1850–2005,100,1980,RNN_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_RNN_n64
CESM-LME,850–2005,13,1980,RNN_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_RNN_n64
20CRv3ens,1851–2015,81,20000,RNN_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_RNN_n64
MPI-GE,1850–2005,100,20000,RNN_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_RNN_n64
CESM-LME,850–2005,13,20000,RNN_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_RNN_n64
20CRv3,1851–2015,ensmean,1980,LSTM_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_LSTM_n64
20CRv3ens,1851–2015,81,1980,LSTM_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_LSTM_n64
MPI-GE,1850–2005,100,1980,LSTM_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_LSTM_n64
CESM-LME,850–2005,13,1980,LSTM_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_LSTM_n64
20CRv3ens,1851–2015,81,20000,LSTM_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_LSTM_n64
MPI-GE,1850–2005,100,20000,LSTM_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_LSTM_n64
CESM-LME,850–2005,13,20000,LSTM_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_LSTM_n64
20CRv3,1851–2015,ensmean,1980,GRU_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_GRU_n64
20CRv3ens,1851–2015,81,1980,GRU_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_GRU_n64
MPI-GE,1850–2005,100,1980,GRU_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_GRU_n64
CESM-LME,850–2005,13,1980,GRU_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_GRU_n64
20CRv3ens,1851–2015,81,20000,GRU_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_GRU_n64
MPI-GE,1850–2005,100,20000,GRU_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_GRU_n64
CESM-LME,850–2005,13,20000,GRU_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_GRU_n64
20CRv3,1851–2015,ensmean,1980,GRU_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_GRU_n64_do01
20CRv3ens,1851–2015,81,1980,GRU_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_GRU_n64_do01
MPI-GE,1850–2005,100,1980,GRU_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_GRU_n64_do01
CESM-LME,850–2005,13,1980,GRU_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_GRU_n64_do01
20CRv3ens,1851–2015,81,20000,GRU_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_GRU_n64_do01
MPI-GE,1850–2005,100,20000,GRU_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_GRU_n64_do01
CESM-LME,850–2005,13,20000,GRU_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_GRU_n64_do01
20CRv3,1851–2015,ensmean,1980,LSTM_n64_d01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_LSTM_n64_d01
20CRv3ens,1851–2015,81,1980,LSTM_n64_d01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_LSTM_n64_d01
MPI-GE,1850–2005,100,1980,LSTM_n64_d01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_LSTM_n64_d01
CESM-LME,850–2005,13,1980,LSTM_n64_d01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_LSTM_n64_d01
20CRv3ens,1851–2015,81,20000,LSTM_n64_d01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_LSTM_n64_d01
MPI-GE,1850–2005,100,20000,LSTM_n64_d01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_LSTM_n64_d01
CESM-LME,850–2005,13,20000,LSTM_n64_d01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_LSTM_n64_d01
20CRv3,1851–2015,ensmean,1980,LSTM_n64_d005,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_LSTM_n64_d005
20CRv3ens,1851–2015,81,1980,LSTM_n64_d005,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_LSTM_n64_d005
MPI-GE,1850–2005,100,1980,LSTM_n64_d005,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_LSTM_n64_d005
CESM-LME,850–2005,13,1980,LSTM_n64_d005,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_LSTM_n64_d005
20CRv3ens,1851–2015,81,20000,LSTM_n64_d005,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_LSTM_n64_d005
MPI-GE,1850–2005,100,20000,LSTM_n64_d005,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_LSTM_n64_d005
CESM-LME,850–2005,13,20000,LSTM_n64_d005,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_LSTM_n64_d005
20CRv3,1851–2015,ensmean,1980,LSTM_n64_d02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_LSTM_n64_d02
20CRv3ens,1851–2015,81,1980,LSTM_n64_d02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_LSTM_n64_d02
MPI-GE,1850–2005,100,1980,LSTM_n64_d02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_LSTM_n64_d02
CESM-LME,850–2005,13,1980,LSTM_n64_d02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_LSTM_n64_d02
20CRv3ens,1851–2015,81,20000,LSTM_n64_d02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_LSTM_n64_d02
MPI-GE,1850–2005,100,20000,LSTM_n64_d02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_LSTM_n64_d02
CESM-LME,850–2005,13,20000,LSTM_n64_d02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_LSTM_n64_d02
20CRv3,1851–2015,ensmean,1980,LSTM_n64_d02_rdo02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_LSTM_n64_d02_rdo02
20CRv3ens,1851–2015,81,1980,LSTM_n64_d02_rdo02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_LSTM_n64_d02_rdo02
MPI-GE,1850–2005,100,1980,LSTM_n64_d02_rdo02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_LSTM_n64_d02_rdo02
CESM-LME,850–2005,13,1980,LSTM_n64_d02_rdo02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_LSTM_n64_d02_rdo02
20CRv3ens,1851–2015,81,20000,LSTM_n64_d02_rdo02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_LSTM_n64_d02_rdo02
MPI-GE,1850–2005,100,20000,LSTM_n64_d02_rdo02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_LSTM_n64_d02_rdo02
CESM-LME,850–2005,13,20000,LSTM_n64_d02_rdo02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_LSTM_n64_d02_rdo02
20CRv3,1851–2015,ensmean,1980,LSTM_n32,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_LSTM_n32
20CRv3ens,1851–2015,81,1980,LSTM_n32,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_LSTM_n32
MPI-GE,1850–2005,100,1980,LSTM_n32,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_LSTM_n32
CESM-LME,850–2005,13,1980,LSTM_n32,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_LSTM_n32
20CRv3ens,1851–2015,81,20000,LSTM_n32,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_LSTM_n32
MPI-GE,1850–2005,100,20000,LSTM_n32,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_LSTM_n32
CESM-LME,850–2005,13,20000,LSTM_n32,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_LSTM_n32
20CRv3,1851–2015,ensmean,1980,LSTM_n128,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_LSTM_n128
20CRv3ens,1851–2015,81,1980,LSTM_n128,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_LSTM_n128
MPI-GE,1850–2005,100,1980,LSTM_n128,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_LSTM_n128
CESM-LME,850–2005,13,1980,LSTM_n128,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_LSTM_n128
20CRv3ens,1851–2015,81,20000,LSTM_n128,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_LSTM_n128
MPI-GE,1850–2005,100,20000,LSTM_n128,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_LSTM_n128
CESM-LME,850–2005,13,20000,LSTM_n128,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_LSTM_n128
20CRv3,1851–2015,ensmean,1980,LSTM_n256,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_LSTM_n256
20CRv3ens,1851–2015,81,1980,LSTM_n256,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_LSTM_n256
MPI-GE,1850–2005,100,1980,LSTM_n256,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_LSTM_n256
CESM-LME,850–2005,13,1980,LSTM_n256,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_LSTM_n256
20CRv3ens,1851–2015,81,20000,LSTM_n256,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_LSTM_n256
MPI-GE,1850–2005,100,20000,LSTM_n256,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_LSTM_n256
CESM-LME,850–2005,13,20000,LSTM_n256,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_LSTM_n256
20CRv3,1851–2015,ensmean,1980,LSTM_n32_64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_LSTM_n32_64
20CRv3ens,1851–2015,81,1980,LSTM_n32_64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_LSTM_n32_64
MPI-GE,1850–2005,100,1980,LSTM_n32_64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_LSTM_n32_64
CESM-LME,850–2005,13,1980,LSTM_n32_64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_LSTM_n32_64
20CRv3ens,1851–2015,81,20000,LSTM_n32_64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_LSTM_n32_64
MPI-GE,1850–2005,100,20000,LSTM_n32_64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_LSTM_n32_64
CESM-LME,850–2005,13,20000,LSTM_n32_64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_LSTM_n32_64
20CRv3,1851–2015,ensmean,1980,LSTM_n64_128,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_LSTM_n64_128
20CRv3ens,1851–2015,81,1980,LSTM_n64_128,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_LSTM_n64_128
MPI-GE,1850–2005,100,1980,LSTM_n64_128,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_LSTM_n64_128
CESM-LME,850–2005,13,1980,LSTM_n64_128,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_LSTM_n64_128
20CRv3ens,1851–2015,81,20000,LSTM_n64_128,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_LSTM_n64_128
MPI-GE,1850–2005,100,20000,LSTM_n64_128,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_LSTM_n64_128
CESM-LME,850–2005,13,20000,LSTM_n64_128,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_LSTM_n64_128
20CRv3,1851–2015,ensmean,1980,LSTM_n64_128_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_LSTM_n64_128_do01
20CRv3ens,1851–2015,81,1980,LSTM_n64_128_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_LSTM_n64_128_do01
MPI-GE,1850–2005,100,1980,LSTM_n64_128_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_LSTM_n64_128_do01
CESM-LME,850–2005,13,1980,LSTM_n64_128_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_LSTM_n64_128_do01
20CRv3ens,1851–2015,81,20000,LSTM_n64_128_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_LSTM_n64_128_do01
MPI-GE,1850–2005,100,20000,LSTM_n64_128_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_LSTM_n64_128_do01
CESM-LME,850–2005,13,20000,LSTM_n64_128_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_LSTM_n64_128_do01
20CRv3,1851–2015,ensmean,1980,LSTM_n64_128_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_LSTM_n64_128_do02
20CRv3ens,1851–2015,81,1980,LSTM_n64_128_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_LSTM_n64_128_do02
MPI-GE,1850–2005,100,1980,LSTM_n64_128_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_LSTM_n64_128_do02
CESM-LME,850–2005,13,1980,LSTM_n64_128_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_LSTM_n64_128_do02
20CRv3ens,1851–2015,81,20000,LSTM_n64_128_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_LSTM_n64_128_do02
MPI-GE,1850–2005,100,20000,LSTM_n64_128_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_LSTM_n64_128_do02
CESM-LME,850–2005,13,20000,LSTM_n64_128_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_LSTM_n64_128_do02
MPI-GE,1850–2005,100,20000,PCR,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_PCR